术语ID,术语名称(中文),术语名称(英文),术语别名,术语定义,确认状态,术语来源,使用情况,创建人,最后编辑人,最后编辑时间
rWNOTT,抵质押率超标,pledge_ratio_exceed,抵押率超标,抵押品价值不足，导致贷款风险过高。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rCzWkm,最晚发货日期,latest_ship_date,,指卖家承诺的最迟发货日期，逾期将构成违约。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r0Jus8,最低管控资产值,min_asset_control_value,,最低管控资产值指企业为加强资产管理，对必须纳入专门管控范围的资产设定的最低金额标准。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r4GJ9g,总件数,total_piece_count,,总件数指物流或仓储中所有货物的总数量。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rQw9xT,自有资金,own_fund,,企业所有者投入、无需偿还且可长期使用的资本。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rOoZaQ,资金周转天数,funds_turnover_days,,资金周转天数指企业资金从投入运营到收回现金所需平均天数，反映资金使用效率。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r2IoNF,资金超期天数,funds_overdue_days,资金超期持续天数,指资金超过约定还款日仍未归还的持续天数。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r6wKfL,资产总金额,total_asset_amount,资产总额,企业拥有或控制的全部资产价值总和。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rUS3ed,锁定重量,locked_weight,重量(锁定),在区块链中，锁定重量指暂时无法交易或提取的加密货币数量。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rRlr24,可用重量,remain_weight,重量(可用),可继续使用的货物重量。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rp9w78,冻结重量,frozen_weight,重量(冻结),冻结权重指在模型训练过程中被固定、不参与更新的参数。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rblQST,抵质押率,pledge_ratio,质押率,抵质押率指抵押品价值与贷款金额的比率，用于衡量贷款风险。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rU7y6C,支付类型,pay_type,,支付类型指交易资金的结算方式，如现金、银行卡、移动支付等。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rrb53e,库存均价,inventory_avg_price,在库均价,库存均价指企业所有存货的平均单位成本，用于衡量库存价值。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rlOpPK,约定送货天数,promised_delivery_days,约定交货天数,约定交货天数指商家承诺从下单到送达的天数，是衡量履约时效的关键指标。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
ruEYvu,预警日期,alert_date,,预警日期指系统或报告中触发预警的具体时间点。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rXjhLW,预计可提数量,estimate_remain_quantity,预计可提数,预计可提数量指库存中可供提取或使用的预估剩余量。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rI8Cl7,预计可提货值,estimate_remain_goods_value,,预计可提货值指已售出但尚未提取的商品总价值。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rE6jnT,预付资产,prepay_asset,,预付资产指企业预先支付、尚未消耗的款项，属于流动资产，如预付租金或保险费。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rr9dxH,预付款价格,prepay_price,预付款单价,预付款价格指提前支付时，商品或服务的优惠单价。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rfcOPO,预付抵质押率,prepay_pledge_ratio,预付抵押率,预付抵质押率指预付款项占抵质押物价值的比例，用于衡量融资风险。,待确认,积木报表,,兰恩来,兰恩来,2026年3月25日
rVKdJm,应收资产余额,receivable_asset_balance,,企业因销售商品或提供服务而应收但尚未收到的款项总额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r1IsPN,应收资产,receivable_asset,,应收资产是企业因销售商品或提供服务而应收取的款项，属于流动资产。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
roawzX,应收融资余额,receivable_financing_balance,,指企业通过融资方式（如保理、贴现）形成的尚未收回的应收账款总额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rqtAsI,预付借据贷款余额合计,total_prepay_promissory_note_loan_balance,预付借据在贷余额合计,指借款人已预付但尚未使用的借据贷款总额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rMBexT,应收借据贷款余额合计,total_receivable_promissory_note_loan_balance,应收借据在贷余额合计,应收借据贷款余额合计指银行持有的、客户尚未偿还的借据类贷款总额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rbNGKX,现货借据贷款余额合计,total_spot_promissory_note_loan_balance,现货借据在贷余额合计,指借款人尚未偿还的现货借据贷款总额，即当前在贷余额总和。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rR5byP,应收抵质押率,receivable_pledge_ratio,应收抵押率,应收账款质押融资中，质押的应收账款金额占其总价值的比率。,待确认,积木报表,,兰恩来,兰恩来,2026年3月25日
rtl7G6,银承票据,bank_accept_note,,银承票据即银行承兑汇票，由银行承诺到期付款，是企业的短期融资工具。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
ryiVVO,已到数量,arrive_quantity,,已到数量指实际收到的货物数量，用于核对订单。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rGALW9,已到货值,arrive_goods_value,,已到货值指已送达仓库并完成验收的货物总价值。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r66m5O,业务人员,biz_representative,,企业代表，负责对外商务沟通与业务拓展。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rZ8hqc,项目名称,project_name,,项目名称是标识特定项目的简短、唯一名称。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r7WoCg,下游客户,downstream_customer,,下游客户指购买企业产品或服务，用于自身生产或销售的后续环节客户。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
ruvoWw,完成时间,complete_time,,完成时间指任务或活动从开始到结束所经历的总时长。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rP5Rw5,完成日期,complete_date,,任务或活动计划结束的实际时间点。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rfxLre,外部协议编号,external_agreement_no,,外部协议编号是用于标识与外部系统或第三方签订的业务协议的唯一代码。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rLkLSq,推送日期,push_date,,推送日期指内容正式发布或推送给用户的日期，用于标记上线时间。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
ret1Ry,是否完成收货,is_receive_complete,,指订单中所有商品均已送达并确认接收的状态。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rypt6O,实际值,actual_value,,实际值是指模型预测时对应的真实观测数据或结果。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
re2Ci2,实际入库货值,actual_inbound_goods_value,,实际入库货值指已验收入库货物的总价值，以采购成本或合同价为准。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r0CdJ5,剩余额度,remain_quota,,剩余额度指用户当前可用的信用或资源限额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rnghga,省份,province,,国家一级行政区划，如中国的省、自治区、直辖市。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rJzUn4,上游供应商,upstream_supplier,,上游供应商指为下游企业提供原材料或零部件的生产商。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rVpcOA,商品,sku,,商品最小库存单位，用于唯一识别和管理具体商品。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rkYZPl,融资控制线,financing_control_line,,融资控制线是金融机构为控制风险，对融资账户设置的强制平仓预警线。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rZpMqg,签订时间,sign_time,,签约合同或协议生效的具体日期。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r6hLbl,平台公司,platform_company,,平台公司指搭建数字交易或交互空间，连接多边用户并促成交易的企业，如电商、社交平台。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
reUcAR,审批抵质押率,approve_pledge_ratio,批复抵质押率,批复抵质押率指银行审批认可的抵质押物价值与贷款金额之比。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
ryvKxn,流动性覆盖率,liquidity_coverage_ratio,,衡量银行短期流动性风险的监管指标，要求优质流动资产能覆盖至少30天的净现金流出。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rKIC8o,流动资金贷款,working_capital_loan,,流动资金贷款是企业用于日常经营周转的短期贷款。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rHSoci,宽展期,grace_period,展期期限|免息期,宽展期指债务到期后可延迟还款且不计罚息的宽限时间。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rUX70Z,库存单位,inventory_unit,,库存单位是商品库存管理的最小计量单位，用于唯一标识和追踪商品。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rgu7kw,开始时间,start_time,,开始时间指任务、事件或过程启动的具体时刻。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rqBea7,距最晚送货日天数,days_until_latest_delivery,距最晚交货日天数,指当前日期距离合同规定的最晚交货日期的剩余天数。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rEuiJ1,距最晚回款日天数,days_until_latest_payment,,指从当前日期到最近一次应还款日之间的剩余天数。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rFcX4e,距离计划发货日期天数,days_until_plan_ship,,指商品计划发货日与当前日期间的天数差，用于衡量发货紧迫性。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rUSqRD,距宽展结束日天数,days_until_grace_period_end,,指用户订阅到期后，到宽限期结束前的剩余天数。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rIK4N9,距离超期天数,days_until_due,,距离超期天数指从当前日期到约定付款截止日之间的剩余天数。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rmKQFt,金融产品名称,financial_product_name,金融名称,金融产品的官方命名，用于标识和交易。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rAXuFv,今日走势,today_trend,,今日走势指股票或市场当日价格的整体变动方向与强度。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rzM80U,今日贷款余额,today_loan_balance,今日在贷余额,今日贷款余额指截至当前日期，借款人尚未偿还的贷款本金总额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rSJwy7,今日还款,today_repay_amount,,今日还款指用户在当天需偿还的借款总金额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rA7r42,今日放款,today_disbursement_amount,,今日放款指当天实际发放的贷款总额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rlzYb1,借据余额,promissory_note_balance,借据余额(元）,借据余额指借款人尚未偿还的票据本金总额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月25日
rghEoH,借据日期,promissory_note_date,,借据日期指借款人签署借据并承诺还款的生效日期。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rBCr3e,结束时间,end_time,,指事件或活动终止的特定时刻。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r14Wtc,锁定件数,locked_piece_count,件数(锁定),件数(锁定)指在特定条件下被固定无法移动的棋子数量。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rR7OWI,可用件数,remain_piece_count,件数(可用),可用的剩余物品数量。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rS3Pyn,冻结件数,frozen_piece_count,件数(冻结),冻结件数指被暂时锁定、无法移动或使用的物品数量。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rgTzfe,计划送货日期,plan_delivery_date,计划交货日期,计划交货日期指供应商承诺完成订单交付的预定时间。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rPH4tv,计划回款日期,plan_payment_date,,计划回款日期指合同中约定的应收款项预计到账时间。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r7aH2H,计划发货日期,plan_ship_date,,计划发货日期指商品预计从仓库发出的日期，是供应链管理中的关键时间节点。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r9ZXuE,锁定货值,locked_goods_value,货值(锁定),指已支付但商品未发货的订单金额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rQ3yVO,可用货值,remain_goods_value,货值(可用),指仓库中可供销售或使用的库存商品总价值。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r3j1LM,冻结货值,frozen_goods_value,货值(冻结),指因法律或监管原因被暂时限制流通的货物总价值。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rRAOb1,货物总件数,total_goods_piece_count,,指一批货物中所有独立包装或计件单位的数量总和。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rhxbZI,合计已用额度,total_used_credit,,信用卡已消费但未还款的总额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
ro9Eb8,订单运行时间,order_process_time,订单运行时间(天）,订单从创建到完成处理所需的总时长。,待确认,积木报表,,兰恩来,兰恩来,2026年3月25日
rqlbL4,订单下游,downstream_order,,订单下游指订单处理流程中后续环节，如生产、物流等。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
roFxqG,订单上游,upstream_order,,订单上游指供应链中为当前订单提供原材料或服务的先前环节订单。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rf0vnL,订单金额状态,order_amount_status,,订单金额状态指订单中金额的确认、支付、退款等处理阶段。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rBBFoP,订单送货日期,order_delivery_date,订单交货日期,订单交货日期指客户订单中约定的货物送达指定地点的最后期限。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rzlkj9,订单付款日期,order_pay_date,,订单付款日期指客户完成支付、订单款项到账的具体时间点。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rdw6vy,到期剩余时间,days_until_expire,,指金融产品或合约距离到期日所剩的天数。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r3aEgM,当期入库重量,current_period_inbound_weight,当期入库重量吨,当期入库重量指本统计周期内货物进入仓库的总重量。,待确认,积木报表,,兰恩来,兰恩来,2026年3月25日
ro50G3,当期出库重量,current_period_outbound_weight,当期出库重量吨,本期从仓库发出的货物总重量。,待确认,积木报表,,兰恩来,兰恩来,2026年3月25日
r7S0Lk,单位,unit,,计量中作为基准的单个事物或标准量。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rDOLYr,单笔抵质押率,per_trans_pledge_ratio,单笔抵押率,单笔抵质押率指单笔融资中抵押物价值与贷款金额的比率，用于衡量风险。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rwiHZp,存货资产,inventory_asset,,存货资产是企业持有用于销售或生产过程的商品、原材料等流动资产。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rQWkPs,存货周转天数,inventory_turnover_days,,存货周转天数指企业从取得存货到销售变现平均所需天数，反映存货流动速度。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r7CVcE,存货融资余额,inventory_financing_balance,,存货融资余额指企业以库存为抵押获得的未偿还贷款总额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rGhfRw,存货超期天数,inventory_overdue_days,存货超期持续天数,存货超期天数指库存物料超过规定储存期限后仍未使用的持续天数。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r8d32n,创建企业,create_company,,创建企业指在工商部门注册登记，依法设立具有法人资格的经营实体。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rCpKQK,差额,difference,,差额指两个数值之间的差，即一个数减去另一个数的结果。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rivrPw,仓库/牧场名称/上下游,warehouse/ranch/upstream/downstream,,仓库：代码存储库。牧场：代码分支。上下游：代码流向关系。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rWYcAI,仓库,warehouse,,存储和管理物资、商品的大型建筑或空间。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
raJhFU,标准值,standard_value,,标准值指经权威机构认定、作为参照基准的公认数值。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r7oyr0,本周走势,this_week_trend,,本周走势指股票或市场在当周内的价格变动方向与幅度。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rbaHTn,本年累计放款金额,ytd_disbursement_amount,,指年初至今累计发放的贷款总额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
r3qRHN,保证金,margin_amount,,保证金是投资者在交易中作为担保的预存资金。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rURK18,30天内到期余额,due_in_30_days_balance,30天内到期余额万元,指未来30天内需偿还的债务总额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月25日
rGHzSL,开户联系人姓名,account_contact_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r5zNA2,准入开关,access_switch,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rPHEC6,准入序号,access_sn,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rY5WVK,验收方式,acceptance_method,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rznqnn,开户证明文件ID,account_open_credential_file_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rCEJDH,活跃企业数量,active_company_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rQeTgo,活跃数量,active_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r3u3oG,实际出发日期,actual_departure_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rAULpU,实际过期时间,actual_expire_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r2ZRRu,实际喂养天数,actual_feed_days,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rqCOm7,实际里程,actual_mileage,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rDDk4m,实际到港日期,actual_port_arrive_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rAgfqW,实际数量,actual_quantity,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rkgbpK,实际收付款金额,actual_receipt_pay_amount,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rPLRYD,实际收货时间,actual_receive_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rMRkhO,实际销售方联系号码,actual_seller_contact_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r8rOz1,实际销售方ID,actual_seller_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rkTqZw,实际销售方结算金额,actual_seller_settlement_amount,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r3SWZH,实际销售方名称,actual_seller_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rqqPaC,实际销售方类型,actual_seller_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r3eRBu,实际重量,actual_weight,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r7Ni8t,地址,addr,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r6Cq26,详细地址,addr_detail,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ryvlvY,约定送货日期,agree_delivery_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rKG9us,约定回款日期,agree_pay_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rpzAM2,协议附件类型,agreement_attach_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rud4ui,协议完结方式,agreement_complete_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rtPuW1,协议日期,agreement_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rDyeFp,协议结束日期,agreement_end_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rRHk12,协议ID,agreement_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rXRBMR,协议模式,agreement_mode,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rintxP,协议编号,agreement_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rQQdh0,协议预付款,agreement_prepay,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rkUgTp,补充说明,agreement_remark,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r9xKLO,协议创建来源,agreement_source,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r7Qtqe,协议开始日期,agreement_start_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rSX56F,协议状态,agreement_status,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r6kjo6,协议类型,agreement_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rufS3S,协议重量,agreement_weight,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rGthWt,预警照片,alert_photos,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rel9Gq,预警区域名称,alert_region_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rkKu3L,预警状态,alert_status,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r1L0b6,氨气,ammonia_gas,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rALvli,抗体,antibody,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rkNqYM,申请人类型,applicant_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rD5hL8,申请基准利率,apply_base_interest_rate,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rTkmP5,申请创建时间,apply_create_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rwDHTp,申请放款金额,apply_disbursement_amount,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rqBwMr,申请到期日期,apply_expire_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rTprbS,申请到期时间,apply_expire_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rPfrKh,申请ID,apply_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r7VBWU,申请期限,apply_period,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rIn3i1,申请结算金额,apply_settlement_amount,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rHqSvS,批复放款金额,approve_disbursement_amount,审批放款金额,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rEqLig,批复到期日,approve_expire_date,审批到期日,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rQXc4F,批复号,reply_no,,银行批复，金信审批,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rOgS2u,审批时间,approve_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rMeg1B,审批人ID,approver_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rMxEwd,审批人姓名,approver_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rHMSFx,到货截止时间,arrival_end_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rCw06C,到货起始时间,arrival_start_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r5QR4A,资产笔数,asset_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rgGXOO,资产ID,asset_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rVomtW,资产信息ID,asset_info_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rJVvPc,资产池数量,asset_pool_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r8osPW,资产借据ID,asset_promissory_note_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rgHXYA,附件名称,attach_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r19fqu,附件子类型,attach_sub_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rlVKra,属性数量,attr_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rh1z54,认证方式,auth_method,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rQl66y,认证操作员,auth_operator,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rczzcy,认证状态描述,auth_status_desc,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rOEf7W,授权时间,authorization_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rV8bjW,是否自动装车,is_auto_load,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rVdSTp,头像URL,avatar_url,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r5jmj4,日均贷款余额,avg_daily_loan_balance,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rgRkDI,日均线下贷款余额,avg_daily_offline_loan_balance,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rGSBIz,日均线上贷款余额,avg_daily_online_loan_balance,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rX3BgH,平均库存,avg_inventory,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rqXovb,背部照片,back_photo,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r9Jbfk,银行账户名,bank_account_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rZwC0s,开户行行号,account_bank_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ryQENh,银行联系人姓名,bank_contact_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rLFLei,银行联系人电话,bank_contact_phone,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rrNN7g,银行客户经理,bank_customer_manager,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rFkYv2,银行商户联系人姓名,bank_merchant_contact_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r3qpe5,银行商户联系人电话,bank_merchant_contact_phone,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rlt8gC,银行初步审批额度,bank_preliminary_approve_quota,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rGgKC8,银行产品ID,bank_product_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r6g725,银行类型,bank_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rw2t7g,基准利率,base_interest_rate,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rXPx91,账单日期,bill_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rrLqFf,账单明细ID,bill_detail_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rB7Idp,账单状态,bill_status,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rH670C,账单类型描述,bill_type_desc,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rXEFkt,批次管理类型,batch_manage_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rhbcqe,计费单位,charge_unit,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rVaUqr,生日,birthday,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rDsdxy,分支机构名称,branch_org_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rIjufe,分支机构下属组织名称,branch_sub_org_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rXe3uE,品牌ID,brand_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rsXQ4y,品牌名称,brand_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
